index,district,grab_and_go_meals,offering,dates,hours,link,meals,school_name,school_address,city,state,zip_code,latitude,longitude,county,country,accuracy_score,accuracy_type,main_office_phone,grades,level,notes
1084,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Hoover Middle School,12015 Tivoli NE,Albuquerque,NM,87111,35.122168,-106.505853,Bernalillo County,US,1,rooftop,(505) 298-6896,6–8,Middle School,
1085,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Sombra Del Monte Elementary School,9110 Shoshone Rd. NE,Albuquerque,NM,87111,35.117238,-106.540687,Bernalillo County,US,1,rooftop,(505) 291-6842,K–5,Elementary School,
1086,Albuquerque Public Schools,,,,,,,Jackson Middle School,10600 Indian School Rd. NE,Albuquerque,NM,87112,35.099722,-106.527550,Bernalillo County,US,1,rooftop,(505) 299-7377,6–8,Middle School,
1087,Albuquerque Public Schools,,,,,,,Matheson Park Elementary School,10809 Lexington St. NE,Albuquerque,NM,87112,35.114169,-106.521002,Bernalillo County,US,0.6,rooftop,(505) 291-6837,PreK–5,Elementary School,
1088,Albuquerque Public Schools,,,,,,,Manzano High School,12200 Lomas Blvd. NE,Albuquerque,NM,87123,35.084719,-106.509871,Bernalillo County,US,0.9,rooftop,(505) 559-2200,9–12,High School,
1089,Albuquerque Public Schools,,,,,,,Onate Elementary School,12415 Brentwood Hills NE,Albuquerque,NM,87112,35.105331,-106.504042,Bernalillo County,US,0.5,rooftop,(505) 291-6819,K–5,Elementary School,
1090,Albuquerque Public Schools,,,,,,,Aztec Complex Middle School,2611 Eubank N.E.,Albuquerque,NM,87112,35.113366,-106.534682,Bernalillo County,US,0.6,rooftop,(505) 298-6752,PreK–Age 22,Middle School,
1091,Albuquerque Public Schools,,,,,,,Bellehaven Elementary School,8701 Princess Jeanne St. NE,Albuquerque,NM,87112,35.098223,-106.547640,Bernalillo County,US,1,rooftop,(505) 298-7489,PreK–5,Elementary School,
1092,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,McCollum Elementary School,10900 San Jacinto NE,Albuquerque,NM,87112,35.089387,-106.527702,Bernalillo County,US,1,rooftop,(505) 298-5009,PreK–5,Elementary School,
1093,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Grant Middle School,1111 Easterday NE,Albuquerque,NM,87112,35.091085,-106.541696,Bernalillo County,US,1,rooftop,(505) 299-2113,6–8,Middle School,
1094,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Chelwood Elementary School,12701 Constitution Ave. NE,Albuquerque,NM,87112,35.094684,-106.504689,Bernalillo County,US,1,rooftop,(505) 296-5655,K–5,Elementary School,
1095,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Collet Park Elementary School,2100 Morris St. NE,Albuquerque,NM,87112,35.106563,-106.522705,Bernalillo County,US,1,rooftop,(505) 298-3010,PreK–5,Elementary School,
1096,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Janet Kahn School of Integrated Arts Magnet Elementary School,9717 Indian School Rd. NE,Albuquerque,NM,87112,35.102516,-106.535169,Bernalillo County,US,1,rooftop,(505) 299-4483,PreK–5,Elementary School,
1097,Albuquerque Public Schools,,,,,,,Cibola High School,1510 Ellison Drive NW,Albuquerque,NM,87114,35.204122,-106.663069,Bernalillo County,US,1,rooftop,(505) 897-0110,9–12,High School,
1098,Albuquerque Public Schools,,,,,,,Petroglyph Elementary School,5100 Marna Lynn Ave. NW,Albuquerque,NM,87114,35.184497,-106.681251,Bernalillo County,US,1,rooftop,(505) 898-0923,PreK–5,Elementary School,
1099,Albuquerque Public Schools,,,,,,,Sunset View Elementary School,6121 Paradise Blvd. NW,Albuquerque,NM,87114,35.190276,-106.716029,Bernalillo County,US,1,rooftop,(505) 792-3254,K–5,Elementary School,
1100,Albuquerque Public Schools,,,,,,,Ventana Ranch Elementary School,6801 Ventana Village Rd.,Albuquerque,NM,87114,35.196102,-106.730564,Bernalillo County,US,0.9,rooftop,(505) 890-7375,PreK–5,Elementary School,
1101,Albuquerque Public Schools,,,,,,,Coyote Willow Family Magnet Charter School,7125 Irving Blvd. NW,Albuquerque,NM,87114,35.204586,-106.735261,Bernalillo County,US,1,rooftop,(505) 253-0050,,Charter School,
1102,Albuquerque Public Schools,,,,,,,Volcano Vista High School,8100 Rainbow Road NW,Albuquerque,NM,87114,35.177957,-106.732218,Bernalillo County,US,0.5,rooftop,(505) 890-0343,9–12,High School,
1103,Albuquerque Public Schools,,,,,,,Tony Hillerman Middle School,8101 Rainbow Blvd. NW,Albuquerque,NM,87114,35.178102,-106.739532,Bernalillo County,US,1,rooftop,(505) 792-0698,6–8,Middle School,
1104,Albuquerque Public Schools,,,,,,,Tierra Antigua Elementary School,8121 Rainbow Blvd. NW,Albuquerque,NM,87114,35.178801,-106.742176,Bernalillo County,US,1,rooftop,(505) 792-3262,K–5,Elementary School,
1105,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Sierra Vista Elementary School,10220 Paseo del Norte NW,Albuquerque,NM,87114,35.200106,-106.708698,Bernalillo County,US,1,rooftop,(505) 898-0272,PreK–5,Elementary School,
1106,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Alameda Elementary School,412 Alameda Blvd. NW,Albuquerque,NM,87114,35.191123,-106.619199,Bernalillo County,US,1,rooftop,(505) 898-0070,PreK–5,Elementary School,
1107,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,7 Bar Elementary School,4501 Seven Bar Loop NW,Albuquerque,NM,87114,35.204823,-106.671703,Bernalillo County,US,1,rooftop,(505) 899-2797,K–5,Elementary School,
1108,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,James Monroe Middle School,6100 Paradise Blvd NW,Albuquerque,NM,87114,35.190858,-106.715530,Bernalillo County,US,1,rooftop,(505) 897-0101,6–8,Middle School,
1109,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Taylor Middle School,8200 Guadalupe Trail NW,Albuquerque,NM,87114,35.175687,-106.634760,Bernalillo County,US,1,rooftop,(505) 898-3666,6–8,Middle School,
1110,Albuquerque Public Schools,,,,,,,Sandia Base Elementary School,21001 Wyoming SE,Albuquerque,NM,87116,35.054355,-106.561576,Bernalillo County,US,0.33,place,(505) 268-4356,K–5,Elementary School,
1111,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Wherry Elementary School,Bldg. 25000 - KAFB East,Albuquerque,NM,87116,35.054355,-106.561576,Bernalillo County,US,1,place,(505) 268-2434,K–5,Elementary School,
1112,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Kirtland Elementary School,3530 Gibson Blvd. SE,Albuquerque,NM,87116,35.057657,-106.604930,Bernalillo County,US,0.9,rooftop,(505) 255-3131,K–5,Elementary School,
1113,Albuquerque Public Schools,,,,,,,Chamiza Elementary School,5401 Homestead Circle NW,Albuquerque,NM,87120,35.169504,-106.701981,Bernalillo County,US,1,rooftop,(505) 897-5174,K–5,Elementary School,
1114,Albuquerque Public Schools,,,,,,,L.B. Johnson Middle School,6811 Taylor Ranch Dr. NW,Albuquerque,NM,87120,35.161335,-106.696285,Bernalillo County,US,1,rooftop,(505) 898-1492,6–8,Middle School,
1115,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,S. R. Marmon Elementary School,1800 72nd St. NW,Albuquerque,NM,87120,35.104614,-106.718285,Bernalillo County,US,1,rooftop,(505) 831-5400,PreK–5,Elementary School,
1116,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Marie M. Hughes Elementary School,5701 Mojave NW,Albuquerque,NM,87120,35.160972,-106.705036,Bernalillo County,US,0.9,rooftop,(505) 897-3080,K–5,Elementary School,
1117,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Chaparral Elementary School,6325 Milne Rd. NW,Albuquerque,NM,87120,35.133300,-106.709124,Bernalillo County,US,1,rooftop,(505) 831-3301,K–5,Elementary School,
1118,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Painted Sky Elementary School,8101 Gavin Dr. NW,Albuquerque,NM,87120,35.094331,-106.734690,Bernalillo County,US,0.6,street_center,(505) 836-7763,PreK–5,Elementary School,
1119,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Tres Volcanes Community Collaborative Charter School,9601 Tierra Pintada NW,Albuquerque,NM,87120,35.099326,-106.757127,Bernalillo County,US,1,rooftop,(505) 253-0200,,Charter School,
1120,Albuquerque Public Schools,,,,,,,Atrisco Heritage Academy High School,10800 Dennis Chavez Blvd SW,Albuquerque,NM,87121,35.022408,-106.748744,Bernalillo County,US,1,rooftop,(505) 243-1458,9–12,High School,
1121,Albuquerque Public Schools,,,,,,,Edward Gonzales Elementary School,554 90th St. SW,Albuquerque,NM,87121,35.065128,-106.732446,Bernalillo County,US,1,rooftop,(505) 831-6214,3–5,Elementary School,
1122,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Carlos Rey Elementary School,1215 Cerrillos Rd. SW,Albuquerque,NM,87121,35.051654,-106.749730,Bernalillo County,US,1,rooftop,(505) 836-7738,PreK–5,Elementary School,
1123,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Mary Ann Binford Elementary School,1400 Corriz SW,Albuquerque,NM,87121,35.051471,-106.725788,Bernalillo County,US,1,rooftop,(505) 836-0623,PreK–5,Elementary School,
1124,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Rudolfo Anaya Elementary School,2800 Vermejo Park Dr. SW,Albuquerque,NM,87121,35.035022,-106.731793,Bernalillo County,US,1,rooftop,(505) 452-3137,PreK–5,Elementary School,
1125,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,George I. Sánchez Collaborative Community School Charter School,4050 118th ST SW,Albuquerque,NM,87121,35.019162,-106.751264,Bernalillo County,US,1,rooftop,(505) 253-0300,,Charter School,
1126,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Alamosa Elementary School,6500 Sunset Gardens Rd. SW,Albuquerque,NM,87121,35.071334,-106.705875,Bernalillo County,US,1,rooftop,(505) 836-0288,PreK–5,Elementary School,
1127,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,West Mesa High School,6701 Fortuna Rd. NW,Albuquerque,NM,87121,35.095867,-106.713193,Bernalillo County,US,1,rooftop,(505) 831-6993,9–12,High School,
1128,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Helen Cordero Elementary School,8800 Eucariz Ave. SW,Albuquerque,NM,87121,35.066216,-106.732588,Bernalillo County,US,1,rooftop,(505) 833-5830,PreK–2,Elementary School,
1129,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Jimmy Carter Middle School,8901 Bluewater NW,Albuquerque,NM,87121,35.083821,-106.730920,Bernalillo County,US,1,rooftop,(505) 833-7540,6–8,Middle School,
1130,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Truman Middle School,9400 Benavides Road SW,Albuquerque,NM,87121,35.051049,-106.737098,Bernalillo County,US,1,rooftop,(505) 836-3030,6–8,Middle School,
1131,Albuquerque Public Schools,,,,,,,La Cueva High School,7801 Wilshire Ave,Albuquerque,NM,87122,35.182927,-106.556478,Bernalillo County,US,0.9,rooftop,(505) 823-2327,9–12,High School,
1132,Albuquerque Public Schools,,,,,,,Desert Ridge Middle School,8400 Barstow NE,Albuquerque,NM,87122,35.178540,-106.549199,Bernalillo County,US,0.9,rooftop,(505) 857-9282,6–8,Middle School,
1133,Albuquerque Public Schools,,,,,,,Double Eagle Elementary School,8901 Lowell Dr. NE,Albuquerque,NM,87122,35.186043,-106.508379,Bernalillo County,US,1,rooftop,(505) 857-0187,K–5,Elementary School,
1134,Albuquerque Public Schools,,,,,,,North Star Elementary School,9301 Ventura NE,Albuquerque,NM,87122,35.192361,-106.544246,Bernalillo County,US,0.9,rooftop,(505) 856-6578,K–5,Elementary School,
1135,Albuquerque Public Schools,,,,,,,Tomasita Elementary School,701 Tomasita St. NE,Albuquerque,NM,87123,35.080796,-106.524814,Bernalillo County,US,1,rooftop,(505) 291-6844,K–5,Elementary School,
1136,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Apache Elementary School,12800 Copper St. NE,Albuquerque,NM,87123,35.077811,-106.503554,Bernalillo County,US,0.6,rooftop,(505) 292-7735,PreK–5,Elementary School,
1137,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Kennedy Middle School,721 Tomasita NE,Albuquerque,NM,87123,35.083711,-106.525753,Bernalillo County,US,1,rooftop,(505) 298-6701,6–8,Middle School,
1138,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Manzano Mesa Elementary School,801 Elizabeth St. SE,Albuquerque,NM,87123,35.061909,-106.524821,Bernalillo County,US,1,rooftop,(505) 292-6707,PreK–5,Elementary School,
1139,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Hawthorne Elementary School,420 General Somervell St. NE,Albuquerque,NM,87123,35.079033,-106.541395,Bernalillo County,US,1,rooftop,(505) 299-4424,PreK–5,Elementary School,
1140,Albuquerque Public Schools,,,,,,,School Name Middle School,School Address,Albuquerque,NM,87101,35.199592,-106.644831,Bernalillo County,US,1,place,Main Office,Grades,Middle School,
1141,Albuquerque Public Schools,,,,,,,Corrales Elementary School,200 Target Road,Corrales,NM,87048,35.227600,-106.610587,Sandoval County,US,1,rooftop,(505) 792-7400,K–5,Elementary School,
1142,Albuquerque Public Schools,,,,,,,San Antonito STEM Magnet Elementary School,12555 North Hwy. 14,Sandia Park,NM,87047,35.170992,-106.341575,Bernalillo County,US,1,rooftop,(505) 281-3931,K–5,Elementary School,
